"","area_id","cluster","f_beer","f_dairy","f_eggs","f_fats_oils","f_fish","f_fruit_veg","f_grains","f_meat_red","f_poultry","f_readymade","f_sauces","f_soft_drinks","f_spirits","f_sweets","f_tea_coffee","f_water","f_wine","representativeness_norm","transaction_days","num_transactions","man_day","population","male","female","age_0_17","age_18_64","age_65.","avg_age","area_sq_km","people_per_sq_km"
"40","E05000417","1",0.0117145515000283,0.103727600143309,0.0131114980169331,0.0342251896641671,0.0287089008592242,0.291416557194667,0.138246635700233,0.0564576956196534,0.0229702634242003,0.047958949571645,0.0178766727216729,0.0288888225422227,0.00391742144729316,0.13779722433484,0.00592641596007467,0.0376083458519017,0.0194472554479343,0.44905515803434,365,1822639,141636,16749,8533,8216,2737,12946,1066,33.6028419609821,1.13,14822.1238938053
"41","E05000418","1",0.0153318864886419,0.101715413969052,0.0148813962761505,0.0323155704230854,0.0310422253404803,0.3342617084334,0.130509246717458,0.0528189627970166,0.0248997304161048,0.046075814255986,0.0186304082922667,0.0228836852534464,0.00412847899690846,0.118102502757223,0.00568591700630991,0.0248561018594897,0.0218609507169795,0.451168742072534,364,1373534,119859,13085,6535,6550,2208,9834,1043,33.966297286901,1.35,9692.59259259259
"42","E05000421","1",0.0137795593643161,0.102926207418035,0.0141737919356819,0.0339040011374579,0.0282878027027551,0.294221099844246,0.1374312516561,0.0554656145180992,0.0246047980042784,0.0470009241845526,0.0164139700512502,0.0301377875151069,0.00390274088579535,0.136359229889292,0.00620997085264104,0.0371709612165629,0.0180102888238297,0.506346336241704,364,1760290,146623,14447,7230,7217,2113,11373,961,33.659029555019,0.87,16605.7471264368
"43","E05000422","1",0.014049343601114,0.101268512766862,0.00951087360346196,0.030461544863088,0.0227235575422714,0.296685757763994,0.144953144086763,0.0492470063039259,0.0202343835913653,0.0526664625791706,0.0165667529580303,0.0302490362810106,0.00303010488710296,0.146668073483387,0.0057511063820934,0.0359629908130905,0.0199713484932696,0.385036045906017,364,944528,93027,14164,6649,7515,3666,9368,1130,33.9701355553382,1.57,9021.65605095542
"44","E05000426","1",0.0145602045069069,0.106110015335696,0.0135949031157816,0.0318056069905699,0.0294274712121933,0.299971905840451,0.135418492690294,0.0580533301446849,0.0251814220984944,0.051256749273557,0.0172366956160341,0.0245504644243193,0.00334053488029218,0.134086922400913,0.00623353676445833,0.029814056134917,0.0193576885704368,0.528929306881336,364,2408057,184881,15760,8560,7200,2264,12327,1169,35.1560279174251,1.24,12709.6774193548
"45","E05000427","1",0.0135219131753194,0.109514964515398,0.014339303847219,0.0324234430553963,0.0288086852654282,0.297920996757851,0.135284030670333,0.0589013620380498,0.0239941367185205,0.0511627256426252,0.0154000654583906,0.0245454977774918,0.00324438638353582,0.137349047076891,0.00544479535860848,0.0295225733539593,0.0186220729049818,0.794674285977659,364,4995890,391324,15599,8195,7404,2818,11304,1477,36.0195525342182,1.07,14578.5046728972
"46","E05000428","1",0.0182201282154598,0.102920416936445,0.0140838319026963,0.0318141904002356,0.0249608878934483,0.303300839486138,0.140809835965353,0.0543213667423436,0.0233929300872832,0.0513459288673745,0.0185535884489375,0.0282850695959296,0.00366597844179591,0.13012729844413,0.00574315781283433,0.0299905797484043,0.0184639710111904,0.48616006684822,364,2080599,192089,16987,8574,8413,3337,12371,1279,33.9866368378019,1.45,11715.1724137931
"47","E05000430","1",0.0140674720475974,0.105141546208908,0.0125753425302842,0.0336335650236362,0.026162318253443,0.280772374287794,0.142892305228224,0.0580340634208041,0.0239659318684476,0.0492685385610077,0.019026712298115,0.0308765995934624,0.00396527236368861,0.140240153947254,0.00693657684054824,0.0350526779426278,0.0173885495841587,0.363021033411905,365,1222491,96428,15522,7670,7852,3033,11230,1259,34.7546063646946,1.26,12319.0476190476
"48","E05000432","1",0.0159679916205205,0.103347170770404,0.0129704792785022,0.0333785168013185,0.0250421669580487,0.295229549988062,0.141519242766152,0.0558652505757041,0.023636601689759,0.0494358484608098,0.0186982540183763,0.0287936784220701,0.00364291710630694,0.135715991096803,0.00548285980545436,0.0324496884651227,0.0188237921765852,0.468966047678939,364,1869941,159057,16221,8009,8212,3255,11594,1372,34.5977436646132,1.45,11186.8965517241
"49","E05000433","1",0.0148052384395702,0.104006739171189,0.0134807770498109,0.0339636698293052,0.0284929625815311,0.280245317517706,0.145424156325399,0.0540521457978784,0.0240849895187384,0.0473945361098329,0.0179130968293271,0.03205853924569,0.00316507317405711,0.141482422887861,0.00655048413446205,0.034890062400635,0.0179897889870062,0.429342445939341,364,1167350,96406,13054,6196,6858,2854,9138,1062,33.8991113849548,1.08,12087.037037037
"50","E05000434","1",0.0165676312077309,0.107308556909929,0.00973753665087298,0.0321843578247134,0.0253871002609173,0.296589194166508,0.140873436651283,0.0516471172540612,0.0198280709771605,0.053079631076383,0.0160778127278922,0.0234579269185355,0.00413335650165622,0.142334682842534,0.00576562869843737,0.0310323266514613,0.0239956326799228,0.378839048866939,364,1030793,100584,14147,6988,7159,3306,9514,1327,34.7984731729413,1.51,9368.87417218543
"51","E05000438","1",0.014726836086299,0.102755996875124,0.0133816984517926,0.0332168688998628,0.0256272929488924,0.29404779549184,0.13732272733446,0.0591653887465478,0.0212334522384614,0.0505802456086689,0.0176745652660426,0.028687215346615,0.0040389558472448,0.139996468866087,0.00549392473724644,0.0293869467324316,0.0226636205223834,0.503811124751793,364,2392710,176951,14721,7243,7478,2930,10192,1599,36.3857754222587,2.33,6318.02575107296
"52","E05000439","1",0.0176923108410687,0.106145678267787,0.0121928422994478,0.0308116235882924,0.0222387019043812,0.285510493403503,0.139351934604012,0.0560200794390419,0.0205870193167042,0.0538383029353695,0.0175633690777185,0.0311929910259262,0.00376523593613767,0.144942139942065,0.00579282810903152,0.031742869656933,0.0206115796525804,0.448786749758335,364,2065342,191951,18390,9105,9285,3218,14001,1171,33.0457857511506,1.69,10881.6568047337
"53","E05000443","1",0.0141208637564083,0.104030759670654,0.0128416964424421,0.0316737610688209,0.0243681839366164,0.280127699238776,0.138201025322355,0.0647317073170732,0.0247329501320491,0.0560913469007302,0.017734037595153,0.0269827559422091,0.00351374864067112,0.146802237066957,0.00579866397390089,0.0354422867795557,0.0128062762156284,0.733093446019514,365,4829274,370048,18529,9216,9313,4550,12949,1030,31.4063899812208,1.63,11367.4846625767
